threads,grid_size,sync_mode,sync_interval,episodes,schedule,chunk,obstacles_pct,block,training_time_s,converged,vtune_elapsed_s,vtune_ipc,vtune_mem_bound_pct,thread_cpu_time_s,thread_wait_time_s,thread_spin_time_s,thread_overhead_time_s,thread_eff_cpu_util_pct
4,100,hogwild,0,10000,dynamic,0,50,1,4.977012,no,5.009,4.474,1.4,NA,NA,NA,NA,NA
4,100,sqrt,10,10000,dynamic,0,0,1,0.242551,no,0.266,1.775,28.4,NA,NA,NA,NA,NA
2,100,statespace,0,5000,dynamic,1,0,1,0.099608,no,0.117,1.345,9.4,NA,NA,NA,NA,NA
16,10,sqrt,0,10000,guided,1,50,1,0.016455,yes,0.027,0.419,100.0,NA,NA,NA,NA,NA
8,100,sqrt,0,5000,static,0,0,1,0.079715,no,0.093,1.344,30.4,NA,NA,NA,NA,NA
2,100,sqrt,0,5000,static,0,0,1,0.106824,yes,0.130,1.474,13.9,NA,NA,NA,NA,NA
4,100,hogwild,0,10000,static,0,50,1,5.131106,no,5.164,4.432,1.1,NA,NA,NA,NA,NA
2,50,sqrt,1000,5000,guided,1,0,1,0.029732,yes,0.036,1.424,27.9,NA,NA,NA,NA,NA
40,10,statespace,0,5000,dynamic,1,0,1,0.006562,yes,0.012,0.348,57.3,NA,NA,NA,NA,NA
16,50,sqrt,1000,5000,guided,1,50,1,0.170560,no,0.182,4.153,1.2,NA,NA,NA,NA,NA
8,50,statespace,0,10000,dynamic,10,50,1,0.476569,no,0.485,4.260,1.0,NA,NA,NA,NA,NA
8,10,sqrt,0,5000,static,1,0,1,0.003486,yes,0.011,0.787,0.0,NA,NA,NA,NA,NA
40,100,sqrt,0,10000,static,10,0,1,0.348380,no,0.366,0.430,45.3,NA,NA,NA,NA,NA
20,10,sqrt,0,5000,static,10,50,1,0.020657,yes,0.032,0.417,78.0,NA,NA,NA,NA,NA
8,50,hogwild,0,10000,static,1,0,1,0.014299,yes,0.028,1.109,68.5,NA,NA,NA,NA,NA
40,100,sqrt,0,10000,guided,0,0,1,0.210886,no,0.229,0.459,59.1,NA,NA,NA,NA,NA
20,100,statespace,0,5000,static,0,0,1,0.034063,no,0.047,1.100,36.7,NA,NA,NA,NA,NA
2,50,sqrt,1000,5000,static,0,50,1,0.732428,no,0.742,4.298,1.2,NA,NA,NA,NA,NA
2,50,sqrt,10,10000,dynamic,1,50,1,1.373032,no,1.381,4.074,2.5,NA,NA,NA,NA,NA
40,100,sqrt,0,5000,dynamic,1,50,1,0.592198,no,0.616,2.120,13.3,NA,NA,NA,NA,NA
20,100,sqrt,1000,5000,dynamic,0,50,1,0.524763,no,0.561,4.479,0.6,NA,NA,NA,NA,NA
2,100,hogwild,0,5000,dynamic,1,0,1,0.074247,yes,0.088,1.258,15.8,NA,NA,NA,NA,NA
4,100,sqrt,10,10000,static,0,50,1,5.962435,no,5.988,3.953,3.3,NA,NA,NA,NA,NA
16,50,sqrt,10,10000,static,1,0,1,0.117733,yes,0.126,0.774,61.5,NA,NA,NA,NA,NA
40,10,hogwild,0,5000,dynamic,10,50,1,0.006956,yes,0.016,0.277,96.0,NA,NA,NA,NA,NA
